DetalleID	PedidoID	ProductoID	Cantidad	PrecioUnitario
1	142	121	10	538.83
2	65	10	6	92.18
3	26	132	7	53.04
4	101	187	14	991.76
5	169	88	12	394.41
6	95	175	8	836.93
7	112	153	6	967.17
8	174	35	4	674.53
9	74	179	9	68.97
10	142	56	4	356.25
11	26	41	13	875.26
12	23	90	11	26.36
13	61	31	20	435.01
14	71	14	17	247.8
15	131	85	20	369.67
16	130	72	5	767.17
17	90	169	10	406.78
18	109	127	16	771.71
19	102	174	7	997.49
20	41	13	13	133.31
21	124	118	3	219.12
22	179	163	6	443.25
23	39	198	19	581.1
24	74	186	10	429.86
25	200	89	9	743.17
26	145	157	5	719
27	32	35	12	521.72
28	63	4	5	308.83
29	178	45	14	39.27
30	119	95	15	787.24
31	179	20	4	459.58
32	152	90	14	988.83
33	69	137	11	768.31
34	197	175	9	510.36
35	174	65	7	939.69
36	146	141	12	422.8
37	191	75	7	543.93
38	188	125	18	784.21
39	72	70	16	983.73
40	110	36	7	57.24
41	82	45	5	646.02
42	22	159	5	333.62
43	74	119	6	623.19
44	44	19	16	204.87
45	76	153	13	955.79
46	15	57	15	875.39
47	65	91	16	149.15
48	37	131	5	626.52
49	170	103	4	136.72
50	16	99	9	460.78
51	93	105	6	629.74
52	87	2	10	885.09
53	152	14	17	506.83
54	185	175	3	965.36
55	140	164	9	139.81
56	198	119	15	764.3
57	15	46	8	918.36
58	4	194	19	358.87
59	173	161	20	793.31
60	123	39	5	290.05
61	26	42	9	565.06
62	10	53	12	198.02
63	130	7	13	454.39
64	128	102	8	555.04
65	101	83	14	780.02
66	59	96	17	224.35
67	47	197	8	954.1
68	128	90	11	305.21
69	104	49	9	461.94
70	57	66	13	260.93
71	195	178	17	463.58
72	189	140	13	102.57
73	82	3	20	456.03
74	88	154	5	313.16
75	37	105	16	188.95
76	136	39	14	289.86
77	200	65	8	421.42
78	114	114	3	182.04
79	148	15	13	535.89
80	99	67	3	200.08
81	111	113	2	768.01
82	138	61	15	556.52
83	5	133	5	67.17
84	77	102	4	813.85
85	174	25	6	766.22
86	48	126	17	757.01
87	153	27	2	151.93
88	150	34	7	525.35
89	42	122	1	610.24
90	5	43	18	786.08
91	156	112	12	829.55
92	184	42	12	403.79
93	95	167	14	354.53
94	187	137	19	148.55
95	97	192	8	760.69
96	107	108	4	628.49
97	123	85	7	634.58
98	183	30	20	490.44
99	48	180	12	25.16
100	48	3	16	865.85
101	148	161	19	766.73
102	71	34	19	437.93
103	62	34	19	160.74
104	31	92	18	277.24
105	169	159	12	171.18
106	174	199	20	888.98
107	74	101	9	914.03
108	11	50	2	270.65
109	93	9	4	406.94
110	115	151	14	816.6
111	142	168	2	777.69
112	7	182	20	32.41
113	175	92	17	943.92
114	110	18	8	408.61
115	41	121	17	186.93
116	147	162	12	976.59
117	158	92	4	61.73
118	93	100	6	560.93
119	80	188	1	265.92
120	134	73	16	99.16
121	46	83	12	367
122	167	82	20	249.33
123	195	70	1	445.43
124	112	8	7	600.28
125	48	141	11	644.09
126	154	100	3	210.11
127	132	58	20	467
128	62	184	13	289.97
129	129	120	19	201.6
130	10	158	16	857.02
131	108	70	18	314.72
132	27	122	19	354.12
133	16	130	14	157.05
134	52	134	5	436.83
135	15	111	18	564.15
136	81	198	14	19.38
137	53	40	11	641.39
138	158	198	15	828.57
139	38	42	10	694.87
140	28	140	6	451.78
141	119	35	7	368.54
142	131	146	10	176.55
143	33	149	13	891.62
144	102	65	16	828.08
145	190	190	2	242.1
146	117	140	16	139.82
147	44	75	20	706.9
148	6	63	9	572.9
149	170	97	1	701.35
150	155	69	3	581.14
151	36	91	19	811.95
152	57	140	5	716.16
153	150	88	15	572.71
154	48	142	1	174.42
155	28	8	19	415.76
156	17	48	4	320.94
157	84	22	4	561.41
158	132	67	19	697.37
159	55	138	20	945.24
160	188	8	14	809.39
161	110	190	15	741.57
162	78	43	19	840.92
163	86	94	19	376.9
164	91	166	7	118.24
165	125	195	15	776.51
166	10	126	3	280.03
167	141	194	16	941.12
168	55	9	18	362.1
169	120	185	7	542.03
170	25	25	7	920.52
171	48	30	6	979.47
172	189	188	17	409.16
173	139	170	2	329.4
174	101	25	8	311.57
175	68	41	5	47.11
176	190	116	19	773.07
177	105	60	2	72.79
178	199	166	15	670.75
179	156	38	10	164.21
180	152	111	17	294.94
181	114	164	18	184.63
182	39	90	11	809.49
183	37	89	10	428.62
184	123	190	17	859.6
185	5	187	17	302.33
186	137	183	6	798.29
187	132	149	4	500.72
188	154	172	5	945.16
189	40	14	2	909.43
190	76	143	12	750.66
191	144	179	13	26.58
192	18	123	9	466.25
193	100	180	3	683.65
194	165	181	8	337.37
195	184	179	14	910.85
196	111	179	4	681
197	195	119	2	843.84
198	86	63	7	105.7
199	36	86	17	359.3
200	51	199	11	143.18
