PedidoID	ClienteID	EmpleadoID	FechaPedido	Estado
1	195	6	2020-01-19	Cancelado
2	102	43	2020-04-27	Enviado
3	18	14	2020-03-22	Cancelado
4	118	1	2021-04-24	Enviado
5	83	5	2024-01-10	Cancelado
6	77	10	2024-09-26	Cancelado
7	123	43	2022-10-07	Completado
8	11	23	2023-02-23	Cancelado
9	182	14	2024-12-28	Enviado
10	33	24	2021-11-29	Enviado
11	86	41	2024-09-09	Pendiente
12	148	2	2022-08-07	Pendiente
13	134	21	2022-06-19	Pendiente
14	190	11	2022-07-05	Cancelado
15	3	28	2020-06-17	Completado
16	60	25	2022-09-15	Completado
17	137	44	2023-08-01	Cancelado
18	194	43	2024-04-14	Enviado
19	88	29	2024-03-13	Cancelado
20	63	20	2021-04-25	Completado
21	146	1	2021-11-09	Cancelado
22	157	41	2023-07-26	Pendiente
23	150	43	2021-07-03	Enviado
24	16	48	2024-08-29	Completado
25	113	31	2022-03-06	Cancelado
26	190	21	2021-11-14	Completado
27	82	47	2021-09-15	Pendiente
28	23	39	2021-08-26	Cancelado
29	170	27	2024-05-22	Pendiente
30	42	17	2023-05-01	Completado
31	152	38	2023-07-23	Completado
32	46	13	2024-10-27	Enviado
33	84	17	2020-07-16	Completado
34	125	6	2022-10-22	Cancelado
35	147	41	2022-11-28	Completado
36	170	49	2022-01-17	Enviado
37	154	28	2021-07-19	Completado
38	67	9	2020-06-12	Cancelado
39	17	34	2024-05-16	Enviado
40	69	46	2021-05-20	Pendiente
41	139	39	2023-07-20	Pendiente
42	76	9	2024-05-15	Completado
43	116	24	2021-12-09	Pendiente
44	118	20	2021-08-20	Enviado
45	33	18	2022-11-09	Pendiente
46	88	16	2023-03-22	Enviado
47	67	21	2023-10-28	Pendiente
48	16	29	2023-05-27	Enviado
49	137	7	2020-09-08	Pendiente
50	173	17	2022-07-04	Enviado
51	88	23	2022-12-07	Cancelado
52	167	18	2022-09-06	Pendiente
53	181	35	2024-12-07	Pendiente
54	172	8	2024-09-02	Enviado
55	96	47	2025-02-23	Completado
56	160	32	2023-06-26	Completado
57	37	23	2022-07-26	Completado
58	168	3	2023-06-05	Enviado
59	149	32	2021-10-25	Pendiente
60	184	6	2024-02-03	Pendiente
61	191	1	2021-09-06	Enviado
62	184	45	2022-02-25	Completado
63	92	17	2020-02-28	Cancelado
64	139	47	2025-02-22	Cancelado
65	64	41	2022-04-18	Pendiente
66	179	10	2022-09-07	Completado
67	7	3	2023-10-22	Enviado
68	9	22	2024-10-20	Enviado
69	180	8	2024-12-16	Completado
70	4	7	2023-02-26	Pendiente
71	107	24	2020-11-05	Enviado
72	160	15	2023-01-13	Cancelado
73	75	18	2023-06-26	Completado
74	44	2	2024-09-06	Cancelado
75	2	39	2023-12-10	Cancelado
76	82	40	2020-05-31	Completado
77	98	39	2021-09-23	Cancelado
78	26	6	2022-11-23	Completado
79	155	22	2024-08-29	Cancelado
80	125	7	2024-05-27	Pendiente
81	144	24	2022-05-16	Pendiente
82	44	6	2023-04-16	Completado
83	179	6	2022-05-10	Enviado
84	146	32	2024-09-11	Pendiente
85	139	18	2024-01-04	Pendiente
86	26	4	2024-01-02	Enviado
87	156	17	2022-01-19	Pendiente
88	90	24	2022-04-15	Cancelado
89	81	36	2023-09-01	Completado
90	114	14	2022-05-05	Cancelado
91	197	30	2024-01-12	Enviado
92	154	37	2023-06-13	Pendiente
93	17	25	2024-05-12	Enviado
94	138	39	2020-07-22	Cancelado
95	124	44	2020-04-05	Enviado
96	83	46	2022-06-19	Completado
97	82	5	2021-09-18	Cancelado
98	182	16	2022-04-02	Pendiente
99	8	5	2020-02-17	Pendiente
100	57	16	2022-06-30	Pendiente
101	113	8	2024-12-11	Pendiente
102	35	6	2024-07-27	Pendiente
103	81	19	2022-12-08	Pendiente
104	46	23	2021-10-14	Cancelado
105	167	5	2020-01-10	Pendiente
106	76	45	2024-03-02	Pendiente
107	9	30	2023-10-18	Cancelado
108	99	42	2020-09-27	Pendiente
109	122	19	2023-06-09	Pendiente
110	132	4	2022-02-17	Pendiente
111	182	25	2021-06-07	Enviado
112	174	40	2022-04-24	Completado
113	134	42	2024-07-18	Cancelado
114	129	4	2024-08-08	Cancelado
115	184	38	2022-12-24	Enviado
116	168	50	2021-04-02	Enviado
117	146	50	2023-02-24	Enviado
118	161	12	2021-04-28	Cancelado
119	164	14	2023-05-20	Cancelado
120	151	46	2024-06-13	Enviado
121	13	22	2023-06-02	Enviado
122	127	16	2020-06-08	Completado
123	20	1	2020-09-01	Completado
124	190	28	2021-08-25	Pendiente
125	127	31	2020-10-16	Pendiente
126	54	7	2024-12-06	Cancelado
127	87	43	2024-02-04	Completado
128	84	25	2022-04-03	Pendiente
129	9	31	2020-01-21	Completado
130	111	45	2022-05-24	Cancelado
131	73	12	2020-07-03	Completado
132	181	30	2021-10-03	Enviado
133	89	43	2023-04-25	Completado
134	99	14	2024-02-27	Enviado
135	119	22	2023-02-11	Cancelado
136	16	36	2025-01-13	Cancelado
137	172	13	2025-01-15	Enviado
138	184	20	2024-11-14	Pendiente
139	72	42	2022-08-20	Cancelado
140	6	5	2023-02-04	Enviado
141	118	13	2020-08-16	Enviado
142	161	2	2025-02-12	Pendiente
143	110	30	2021-10-08	Enviado
144	154	23	2020-07-21	Pendiente
145	170	37	2021-08-03	Pendiente
146	144	8	2020-09-15	Enviado
147	85	2	2022-11-23	Cancelado
148	30	5	2020-11-01	Enviado
149	129	26	2021-11-13	Pendiente
150	116	41	2024-01-29	Pendiente
151	137	4	2023-08-28	Enviado
152	152	1	2021-11-28	Cancelado
153	177	25	2022-02-23	Cancelado
