ProductoID	Nombre	Precio	Stock	ProveedorID
1	Toallas de papel	6.86	64	3
2	Manteca	1.55	444	19
3	Verduras	9.08	212	16
4	Refresco	4.14	23	15
5	Té de manzanilla	1.23	415	1
6	Champán	15.67	45	6
7	Galletas integrales	17.57	134	18
8	Yogur	9.8	348	10
9	Tarta	17.54	163	12
10	Almendras	4.74	481	6
11	Whisky	65.35	378	5
12	Galletas de chocolate	9.68	339	4
13	Guisantes	11.45	54	6
14	Cereales	1.9	17	11
15	Limpiador	14.29	430	14
16	Té negro	14.02	235	9
17	Encendedores	7.43	183	17
18	Detergente	5.46	97	19
19	Tarta	14.55	213	3
20	Té negro	9.17	140	12
21	Cereales	3.52	282	5
22	Cerveza	88.62	185	7
23	Pilas	17.15	366	17
24	Vino tinto	14.74	62	2
25	Papel higiénico	11.16	498	8
26	Gaseosa	5.73	425	20
27	Cereales	7.62	87	18
28	Ron	98.6	153	5
29	Refresco	8.6	499	16
30	Galletas de chocolate	7.6	374	20
31	Mostaza	6.01	201	5
32	Mermelada de naranja	19.85	20	14
33	Vinagre	4.87	60	4
34	Whisky	75.11	220	7
35	Toallas de papel	19.66	325	5
36	Mostaza	9.67	263	14
37	Gaseosa	8.38	193	2
38	Mermelada de fresa	15.27	124	1
39	Gaseosa	2.46	92	14
40	Galletas	2.01	256	10
41	Licores	5.14	430	4
42	Tarta	15.57	129	17
43	Pilas	14.35	482	12
44	Gomitas	2.69	495	18
45	Vinagre	9.8	149	2
46	Frutos secos	16.67	428	5
47	Brandy	44.23	227	8
48	Vino blanco	19.05	146	10
49	Aceitunas	11.03	394	2
50	Chocolate en polvo	13.35	297	12
51	Leche en polvo	13.79	38	5
52	Pescado	26.32	156	4
53	Chocolate con leche	3.66	234	20
54	Encendedores	10.03	387	6
55	Pañales	19.22	57	12
56	Guisantes	11.89	314	18
57	Pollo	18.07	204	10
58	Ron	66.59	63	14
59	Cacahuetes	4.24	42	5
60	Carne de res	6.25	348	13
61	Chocolate con leche	11.56	77	14
62	Huevos	11.3	403	14
63	Mermelada de fresa	11.75	79	1
64	Leche en polvo	8.14	294	11
65	Té	8.26	434	5
66	Licores	79.76	435	13
67	Gaseosa	1.42	290	10
68	Mermelada de ciruela	2.36	194	10
69	Frutos secos	10.69	426	1
70	Agua mineral	9.7	404	8
71	Chocolate con leche	17.04	70	4
72	Especias	5.83	26	3
73	Pilas	9.62	321	3
74	Nueces	12.81	256	20
75	Arroz	8.05	289	11
76	Té	9.1	302	15
77	Pastel	17.2	262	7
78	Helado	1.21	127	15
79	Mantequilla	9.45	167	11
80	Dulces	4.89	408	4
81	Helado	4.4	380	10
82	Manteca	17.67	22	12
83	Guisantes	7.26	478	13
84	Pasas	10.96	75	17
85	Pastel	2.56	138	4
86	Pescado	46.74	421	17
87	Agua mineral	8.51	225	17
88	Azúcar	9.57	312	2
89	Mermelada de durazno	2.69	94	15
90	Ron	17.2	99	2
91	Chocolate negro	17.65	351	18
92	Café	19.02	300	20
93	Jabón	12.65	391	1
94	Encendedores	1.36	17	8
95	Mostaza	1.7	237	12
96	Vinagre	11.36	402	6
97	Azúcar	4.15	192	4
98	Cerveza artesanal	7.12	143	7
99	Especias	5.23	322	15
100	Mermelada de fresa	16.63	155	15
101	Arroz	3.33	245	12
102	Especias	10.55	131	16
103	Caramelos	1.61	204	4
104	Harina	8.84	454	16
105	Té verde	8.53	159	5
106	Té de menta	17.42	251	12
107	Caramelos	5.61	26	4
108	Mermelada	9.49	487	17
109	Vino	57.77	264	13
110	Pasas	6.03	216	1
111	Azúcar	11.25	391	10
112	Cerveza artesanal	14.52	149	12
113	Mermelada	12.78	313	9
114	Crema de leche	2.97	374	1
115	Cacao	19.5	314	13
116	Especias	7.71	222	15
117	Whisky	97.88	28	17
118	Pan de molde	11.23	354	13
119	Pasas	17.33	339	1
120	Cacao	17.92	263	1
121	Arroz	9.94	406	18
122	Chocolate negro	19.64	426	17
123	Ron	41.09	50	4
124	Galletas integrales	11.07	246	18
125	Whisky	76.01	32	20
126	Detergente	18.41	468	12
127	Caramelos	3.37	253	5
128	Champán	18.53	460	4
129	Guisantes	1.51	394	5
130	Harina	9.11	377	4
131	Galletas	1.54	168	2
132	Limpiador	14.25	458	8
133	Café	12.09	322	14
134	Galletas rellenas	11.58	83	15
135	Refresco	6.02	50	17
136	Sal	9.26	48	19
137	Sopa enlatada	7.47	408	10
138	Velas	16.52	100	6
139	Arroz	8.28	474	12
140	Yogur	6.44	444	9
141	Cacao	19.4	313	1
142	Guisantes	17.09	55	5
143	Té de menta	18.85	426	10
144	Aceitunas	14.78	392	9
145	Carne de res	29.77	74	6
146	Gaseosa	2.26	41	13
147	Champú	4.85	145	14
148	Galletas rellenas	4.77	318	10
149	Carne de res	40.7	301	3
150	Pasas	7.49	447	7
151	Leche condensada	6.59	477	17
152	Nueces	2.04	39	6
153	Mermelada	15.28	160	17
154	Leche condensada	15.58	381	8
155	Hierbas aromáticas	13.7	404	3
156	Mermelada de naranja	16.08	210	10
157	Cereales	3.37	164	13
158	Gomitas	2.86	127	6
159	Verduras	17.82	272	14
160	Aceite	8.4	393	14
161	Vino tinto	9.01	201	5
162	Leche en polvo	2.79	135	8
163	Nueces	2.32	435	17
164	Tarta	7.02	152	8
165	Cereales	8.67	208	10
166	Leche en polvo	17.54	71	4
167	Nueces	19.41	465	10
168	Cacao	9.44	180	9
169	Jugo	5.95	244	14
170	Whisky	19.76	190	5
171	Sal	3.34	171	20
172	Pastel	15.03	489	12
173	Pollo	31.49	470	8
174	Lentejas	4.92	473	13
175	Champán	15.02	415	2
176	Dulces	2.78	180	10
177	Chocolate con almendras	11.83	247	3
178	Queso	4.14	208	3
179	Vino blanco	18.91	453	7
180	Cerveza artesanal	14.1	59	7
181	Aceite	9.37	298	18
182	Cacahuetes	14.88	241	11
183	Azúcar	9.66	73	2
184	Manteca	5.46	109	13
185	Refresco	2.92	218	3
186	Mantequilla	9.95	476	9
187	Miel	9.24	397	17
188	Mermelada de ciruela	17.41	284	17
189	Castañas	6.54	332	17
190	Galletas de chocolate	4.24	309	16
191	Vinagre	6.52	68	7
192	Galletas integrales	4.03	131	15
193	Brandy	36.28	409	13
194	Cerveza artesanal	10.63	185	7
195	Tarta	3.04	104	9
196	Pilas	7.82	158	1
197	Queso	11.66	104	6
198	Sopa instantánea	18.17	76	1
